                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.5439,                 2.2218,                 2.2238,                0.45632,                0.09066,                0.05396,                0.01718,                 2.7635,                 2.4659,                 2.4051,             0.00074388,             0.00074388,             0.00074388
                     35,                  2.555,                 2.1966,                 2.2059,                0.41402,                0.08642,                0.07059,                0.02298,                 2.7091,                 2.4068,                 2.3392,             0.00074312,             0.00074312,             0.00074312
                     36,                  2.514,                 2.0974,                 2.1572,                0.26527,                0.12738,                0.08477,                0.03262,                 2.5923,                  2.296,                 2.2604,             0.00074235,             0.00074235,             0.00074235
                     37,                 2.4718,                  2.099,                 2.1091,                0.25924,                0.13324,                0.08537,                0.02981,                 2.5698,                 2.2796,                   2.24,             0.00074159,             0.00074159,             0.00074159
                     38,                 2.4657,                 2.1024,                 2.1344,                0.38799,                0.11593,                0.09027,                0.03253,                 2.5406,                 2.3073,                 2.2405,             0.00074083,             0.00074083,             0.00074083
                     39,                 2.4372,                 2.0822,                 2.1015,                0.32237,                0.11806,                0.08456,                 0.0283,                 2.5646,                 2.3074,                 2.2716,             0.00074007,             0.00074007,             0.00074007
                     40,                 2.4479,                 2.0614,                 2.0955,                 0.3844,                0.12056,                 0.0977,                0.03604,                 2.5556,                 2.2412,                 2.2385,             0.00073931,             0.00073931,             0.00073931
                     41,                 2.4361,                  2.019,                 2.0966,                0.43574,                0.11716,                0.10644,                0.03702,                 2.5388,                 2.2597,                  2.232,             0.00073855,             0.00073855,             0.00073855
                     42,                  2.373,                 2.0228,                 2.0623,                0.41055,                 0.1371,                 0.1076,                 0.0409,                 2.5107,                  2.217,                 2.1833,             0.00073779,             0.00073779,             0.00073779
                     43,                  2.366,                 1.9855,                 2.0168,                0.40125,                0.14621,                0.10968,                0.03903,                 2.5435,                 2.2253,                 2.1879,             0.00073702,             0.00073702,             0.00073702
                     44,                 2.3758,                 1.9767,                 2.0176,                0.30862,                0.15433,                0.10974,                0.04126,                 2.5181,                 2.2668,                 2.1689,             0.00073626,             0.00073626,             0.00073626
                     45,                 2.3318,                 1.9295,                 2.0176,                 0.4982,                0.14766,                0.11564,                0.04335,                 2.4337,                 2.1808,                 2.1369,              0.0007355,              0.0007355,              0.0007355
                     46,                 2.3141,                 1.9298,                 1.9768,                0.41009,                0.13217,                0.10448,                0.03903,                 2.4917,                 2.1684,                 2.1545,             0.00073474,             0.00073474,             0.00073474
                     47,                 2.2788,                 1.8835,                 1.9786,                0.30908,                0.14804,                0.12421,                0.04738,                 2.3973,                 2.1787,                 2.1239,             0.00073398,             0.00073398,             0.00073398
                     48,                 2.2838,                 1.8856,                 1.9997,                0.30361,                0.17712,                0.14009,                0.05657,                 2.4059,                 2.1336,                 2.0854,             0.00073322,             0.00073322,             0.00073322
                     49,                 2.2278,                 1.8444,                 1.9548,                0.38362,                0.16434,                0.14221,                0.05462,                 2.3726,                 2.0965,                 2.0691,             0.00073246,             0.00073246,             0.00073246
                     50,                 2.2109,                 1.8623,                 1.9733,                0.30168,                0.16252,                0.13393,                0.05098,                 2.4348,                 2.0244,                 2.1092,              0.0007317,              0.0007317,              0.0007317
                     51,                 2.2525,                 1.8532,                 1.9315,                 0.3275,                0.16545,                0.13423,                0.04939,                 2.4769,                 2.1118,                 2.1379,             0.00073093,             0.00073093,             0.00073093
                     52,                 2.1774,                 1.7843,                 1.8997,                0.33061,                0.17672,                0.13444,                0.05326,                  2.377,                 2.1907,                 2.0769,             0.00073017,             0.00073017,             0.00073017
                     53,                 2.1772,                 1.7629,                 1.9231,                0.35319,                0.18669,                0.16082,                0.06209,                 2.3219,                 2.0244,                 2.0378,             0.00072941,             0.00072941,             0.00072941
                     54,                 2.1612,                  1.778,                 1.9072,                0.32707,                0.17002,                0.14363,                0.05453,                 2.3264,                 2.0499,                 2.0234,             0.00072865,             0.00072865,             0.00072865
                     55,                 2.1828,                 1.7615,                 1.8608,                0.36839,                0.18928,                0.16562,                0.06299,                 2.3586,                 2.0057,                 2.0377,             0.00072789,             0.00072789,             0.00072789
                     56,                 2.1344,                 1.7445,                 1.8734,                0.34524,                0.18416,                0.16453,                0.06436,                 2.3215,                 1.9993,                 2.0179,             0.00072713,             0.00072713,             0.00072713
                     57,                 2.1279,                 1.7284,                 1.8616,                0.30401,                0.18794,                0.16655,                0.06752,                 2.2563,                 1.9292,                 1.9818,             0.00072637,             0.00072637,             0.00072637
                     58,                 2.0985,                 1.7559,                 1.8674,                0.27701,                0.20987,                0.16267,                0.06462,                 2.2678,                 1.9807,                 1.9825,             0.00072561,             0.00072561,             0.00072561
                     59,                  2.131,                 1.7012,                 1.8436,                0.32958,                 0.1955,                0.14823,                0.05249,                 2.4186,                 2.1184,                 2.0519,             0.00072484,             0.00072484,             0.00072484
                     60,                 2.1596,                 1.7054,                 1.8537,                0.27397,                0.20481,                 0.1691,                0.06453,                 2.2828,                 2.0062,                 1.9854,             0.00072408,             0.00072408,             0.00072408
                     61,                 2.0808,                 1.7188,                  1.826,                0.28589,                0.21635,                0.16716,                0.06764,                 2.2842,                 1.9543,                 1.9612,             0.00072332,             0.00072332,             0.00072332
                     62,                 2.0817,                 1.6624,                 1.8134,                0.33184,                0.21868,                0.18919,                 0.0781,                 2.2898,                 1.9549,                 1.9688,             0.00072256,             0.00072256,             0.00072256
                     63,                 2.0968,                 1.6638,                 1.8013,                0.39782,                0.21058,                0.18873,                0.07897,                 2.2521,                 1.9594,                 1.9588,              0.0007218,              0.0007218,              0.0007218
                     64,                 2.0499,                 1.6435,                 1.7721,                 0.2938,                0.21073,                0.18719,                0.07565,                 2.2751,                 1.8709,                 1.9662,             0.00072104,             0.00072104,             0.00072104
                     65,                 2.0654,                 1.6178,                 1.8026,                0.28733,                0.22317,                0.18251,                0.07276,                 2.3228,                 1.9536,                 1.9933,             0.00072028,             0.00072028,             0.00072028
                     66,                 2.0369,                 1.6059,                 1.7857,                0.35904,                0.23699,                0.20303,                0.08444,                 2.2092,                 1.9321,                 1.9324,             0.00071951,             0.00071951,             0.00071951
                     67,                 2.0242,                 1.6249,                 1.7697,                 0.3168,                0.24044,                0.20001,                 0.0848,                 2.1702,                 1.8917,                 1.9132,             0.00071875,             0.00071875,             0.00071875
                     68,                 2.0174,                 1.6099,                 1.8108,                0.36789,                0.23344,                0.20122,                0.08352,                 2.1981,                 1.8626,                  1.929,             0.00071799,             0.00071799,             0.00071799
                     69,                 1.9525,                 1.5714,                 1.7525,                0.41519,                0.23862,                0.22051,                0.09247,                 2.1782,                 1.8406,                 1.9055,             0.00071723,             0.00071723,             0.00071723
                     70,                  1.968,                 1.5839,                 1.7575,                 0.4258,                0.23834,                 0.2142,                0.09443,                 2.1636,                 1.8559,                 1.8962,             0.00071647,             0.00071647,             0.00071647
                     71,                 1.9654,                 1.5602,                 1.7344,                0.25849,                0.26631,                0.19518,                0.08256,                 2.2139,                 1.9133,                 1.9351,             0.00071571,             0.00071571,             0.00071571
                     72,                 1.9286,                 1.5285,                 1.7072,                0.38456,                 0.2371,                0.20825,                0.08739,                 2.1473,                 1.8574,                 1.8842,             0.00071495,             0.00071495,             0.00071495
                     73,                 1.9776,                 1.5412,                 1.7167,                0.33326,                0.24861,                0.21226,                0.09071,                 2.1898,                 1.8887,                 1.8934,             0.00071419,             0.00071419,             0.00071419
                     74,                 1.9748,                 1.5165,                 1.7547,                  0.315,                0.25892,                0.22764,                0.09808,                 2.1857,                 1.8498,                 1.9029,             0.00071342,             0.00071342,             0.00071342
                     75,                 1.9164,                 1.4995,                 1.7242,                0.35794,                0.27128,                0.24587,                0.10997,                 2.1501,                 1.8184,                 1.8834,             0.00071266,             0.00071266,             0.00071266
                     76,                 1.9244,                 1.5185,                 1.6981,                0.32834,                0.26549,                0.23266,                0.09779,                 2.1474,                 1.8438,                 1.8907,              0.0007119,              0.0007119,              0.0007119
                     77,                 1.9073,                 1.5116,                  1.706,                 0.3122,                0.25474,                 0.2212,                0.09469,                 2.1618,                 1.8786,                 1.8905,             0.00071114,             0.00071114,             0.00071114
                     78,                 1.8805,                 1.4694,                 1.6655,                0.33871,                0.26208,                0.22254,                0.09372,                 2.1882,                 1.8482,                 1.9099,             0.00071038,             0.00071038,             0.00071038
                     79,                 1.9004,                 1.4841,                 1.6953,                 0.3472,                0.27657,                 0.2461,                0.10698,                 2.1456,                 1.7776,                 1.8706,             0.00070962,             0.00070962,             0.00070962
                     80,                  1.889,                 1.4609,                 1.6882,                0.31143,                0.26881,                0.22339,                0.09472,                 2.2199,                 1.8807,                 1.9012,             0.00070886,             0.00070886,             0.00070886
                     81,                 1.8834,                 1.4482,                 1.6608,                0.31726,                 0.2919,                 0.2507,                 0.1094,                 2.1373,                  1.752,                 1.8616,              0.0007081,              0.0007081,              0.0007081
                     82,                 1.8846,                 1.4737,                 1.6492,                0.32266,                0.27874,                0.24598,                0.10328,                  2.121,                 1.8556,                 1.8374,             0.00070733,             0.00070733,             0.00070733
                     83,                 1.8901,                 1.4654,                 1.6835,                0.34799,                0.28231,                0.24246,                0.10304,                 2.1231,                 1.7832,                 1.8465,             0.00070657,             0.00070657,             0.00070657
                     84,                  1.855,                 1.4224,                 1.6329,                0.30772,                0.28831,                0.24247,                0.10285,                 2.0975,                 1.7444,                 1.8491,             0.00070581,             0.00070581,             0.00070581
                     85,                  1.882,                 1.4683,                 1.6558,                0.33543,                0.27299,                0.24202,                 0.1054,                  2.133,                  1.771,                  1.864,             0.00070505,             0.00070505,             0.00070505
                     86,                 1.8706,                 1.4857,                 1.6636,                0.36325,                0.28531,                0.24581,                0.10767,                 2.0999,                 1.7584,                 1.8496,             0.00070429,             0.00070429,             0.00070429
                     87,                 1.8711,                 1.4299,                 1.6653,                0.44226,                0.27791,                0.24541,                0.10262,                 2.1792,                 1.7861,                 1.8746,             0.00070353,             0.00070353,             0.00070353
                     88,                 1.8388,                  1.398,                 1.6024,                0.31821,                0.29023,                0.23984,                0.09764,                  2.179,                 1.8292,                 1.8657,             0.00070277,             0.00070277,             0.00070277
                     89,                 1.8585,                 1.4343,                 1.6413,                0.36147,                0.29952,                0.27105,                0.11769,                 2.0584,                 1.6977,                 1.8046,               0.000702,               0.000702,               0.000702
                     90,                  1.789,                 1.3985,                 1.6105,                0.33537,                0.29531,                0.25089,                0.11256,                 2.0743,                 1.7027,                 1.8184,             0.00070124,             0.00070124,             0.00070124
                     91,                 1.7996,                 1.3772,                 1.6208,                0.42969,                0.29659,                0.28523,                0.12748,                 2.0937,                 1.7094,                 1.8222,             0.00070048,             0.00070048,             0.00070048
                     92,                 1.8032,                 1.3488,                 1.6038,                0.35143,                0.29492,                0.26964,                0.11911,                 2.0743,                 1.7027,                 1.8282,             0.00069972,             0.00069972,             0.00069972
                     93,                 1.8046,                  1.388,                 1.6267,                0.38947,                0.30782,                0.27862,                0.11807,                 2.1288,                 1.6903,                 1.8419,             0.00069896,             0.00069896,             0.00069896
                     94,                 1.7932,                 1.3537,                 1.6109,                0.36963,                0.31103,                0.28245,                0.12257,                 2.0642,                  1.687,                 1.8116,              0.0006982,              0.0006982,              0.0006982
                     95,                 1.7809,                 1.3869,                 1.5963,                0.36921,                0.30087,                0.27418,                0.11916,                 2.0847,                 1.6993,                 1.8114,             0.00069744,             0.00069744,             0.00069744
                     96,                 1.8015,                  1.351,                  1.619,                0.35048,                0.26584,                0.25519,                0.11205,                 2.0974,                 1.7681,                  1.813,             0.00069668,             0.00069668,             0.00069668
                     97,                 1.7425,                 1.3421,                 1.5783,                0.32014,                0.29569,                0.26908,                0.12053,                 2.0586,                 1.7092,                 1.8036,             0.00069591,             0.00069591,             0.00069591
                     98,                 1.7546,                 1.3337,                  1.578,                0.43762,                0.31536,                0.31231,                0.14291,                 2.0357,                 1.6941,                 1.7804,             0.00069515,             0.00069515,             0.00069515
                     99,                 1.7334,                 1.3348,                 1.5686,                0.43037,                0.31684,                 0.3056,                0.13817,                 2.0236,                 1.6941,                 1.7889,             0.00069439,             0.00069439,             0.00069439
                    100,                 1.7693,                 1.3206,                 1.5712,                0.36484,                 0.3205,                0.28661,                0.13261,                  2.043,                 1.7247,                  1.793,             0.00069363,             0.00069363,             0.00069363
                    101,                 1.7485,                 1.3069,                 1.5823,                0.38965,                0.32291,                0.30185,                0.13719,                 2.0191,                  1.637,                 1.7814,             0.00069287,             0.00069287,             0.00069287
                    102,                 1.7199,                 1.2992,                 1.5502,                0.35231,                0.30846,                0.27053,                0.12037,                  2.041,                 1.6894,                 1.7793,             0.00069211,             0.00069211,             0.00069211
                    103,                 1.7428,                 1.3185,                 1.5702,                0.37229,                0.30648,                 0.2868,                0.12475,                 2.0354,                 1.6559,                 1.7824,             0.00069135,             0.00069135,             0.00069135
                    104,                 1.7042,                 1.2794,                  1.582,                0.33746,                 0.3146,                0.28956,                0.12691,                 2.0763,                 1.6913,                 1.8006,             0.00069059,             0.00069059,             0.00069059
                    105,                 1.7146,                 1.2822,                 1.5588,                0.36557,                0.32681,                0.28864,                0.12762,                 2.0154,                 1.6844,                 1.7796,             0.00068982,             0.00068982,             0.00068982
                    106,                 1.7308,                 1.2965,                 1.5572,                0.41361,                0.32006,                0.30411,                0.13178,                  2.039,                 1.6645,                  1.777,             0.00068906,             0.00068906,             0.00068906
                    107,                 1.6969,                 1.2809,                 1.5374,                0.37814,                0.31639,                0.29984,                0.13264,                 2.0469,                 1.6543,                 1.7858,              0.0006883,              0.0006883,              0.0006883
                    108,                 1.6912,                 1.2798,                 1.5634,                0.38874,                0.33748,                0.31405,                0.14418,                 1.9714,                 1.5962,                 1.7465,             0.00068754,             0.00068754,             0.00068754
                    109,                 1.6757,                 1.2656,                  1.524,                0.43003,                0.33157,                0.31749,                0.14457,                 1.9554,                 1.5765,                 1.7475,             0.00068678,             0.00068678,             0.00068678
                    110,                 1.6787,                 1.2817,                 1.5494,                0.42544,                0.33949,                0.31815,                0.14089,                 2.0192,                 1.6285,                 1.7839,             0.00068602,             0.00068602,             0.00068602
                    111,                 1.7152,                 1.2714,                 1.5556,                0.42623,                0.32413,                0.31187,                0.13633,                  2.019,                 1.5839,                 1.7849,             0.00068526,             0.00068526,             0.00068526
                    112,                 1.6979,                 1.2609,                 1.5454,                0.37845,                0.32018,                0.30235,                0.13558,                 2.0316,                 1.6534,                 1.7668,             0.00068449,             0.00068449,             0.00068449
                    113,                 1.6716,                 1.2449,                 1.5125,                0.40088,                0.33197,                0.31496,                0.14776,                 2.0151,                 1.6343,                 1.7641,             0.00068373,             0.00068373,             0.00068373
                    114,                  1.676,                 1.2407,                 1.5254,                0.39351,                0.33377,                0.31531,                0.14337,                 2.0044,                 1.6358,                 1.7582,             0.00068297,             0.00068297,             0.00068297
                    115,                 1.6782,                 1.2343,                 1.5207,                 0.4173,                0.33709,                0.32356,                0.15383,                 1.9634,                  1.604,                 1.7412,             0.00068221,             0.00068221,             0.00068221
                    116,                 1.6383,                 1.2156,                 1.5194,                0.43414,                 0.3302,                0.31946,                0.14623,                  1.979,                 1.6119,                 1.7614,             0.00068145,             0.00068145,             0.00068145
                    117,                 1.6781,                 1.2496,                 1.5387,                 0.4046,                 0.3299,                0.31724,                0.13976,                 1.9835,                 1.6378,                 1.7657,             0.00068069,             0.00068069,             0.00068069
                    118,                 1.6677,                 1.2187,                 1.4931,                0.45247,                0.34742,                 0.3479,                0.16266,                 1.9611,                 1.5701,                 1.7254,             0.00067993,             0.00067993,             0.00067993
                    119,                 1.6826,                 1.2167,                 1.5043,                0.41465,                0.33537,                0.32612,                0.14462,                 2.0286,                  1.586,                 1.7687,             0.00067917,             0.00067917,             0.00067917
                    120,                 1.7086,                 1.2232,                 1.5061,                0.40906,                0.34256,                0.32387,                0.14661,                 1.9753,                 1.6098,                 1.7422,              0.0006784,              0.0006784,              0.0006784
