                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.5142,                 1.1974,                 1.3377,                0.73224,                0.50353,                0.58021,                0.34994,                 1.3427,                  1.017,                 1.2796,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.5097,                  1.187,                 1.3368,                0.60513,                0.56573,                0.59805,                0.36308,                   1.32,                  1.007,                 1.2754,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5181,                 1.1971,                 1.3382,                0.69569,                0.51705,                0.60548,                0.36505,                 1.3239,                0.99191,                 1.2668,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.4785,                 1.1591,                 1.3224,                0.65685,                 0.5505,                0.61238,                0.37213,                  1.304,                   0.97,                 1.2582,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.4871,                 1.1554,                 1.3254,                0.68742,                0.53203,                0.61474,                0.37783,                 1.3116,                0.98727,                 1.2594,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.4839,                 1.1511,                 1.3166,                0.75006,                0.51854,                0.62293,                0.37595,                 1.2899,                0.96655,                 1.2393,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.4603,                 1.1345,                 1.3075,                0.74393,                0.56521,                0.63807,                0.39433,                 1.2813,                0.95375,                 1.2388,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.4661,                 1.1284,                 1.3094,                0.72816,                0.53466,                0.63151,                0.39126,                  1.273,                0.93532,                 1.2378,               0.009604,               0.009604,               0.009604
                     42,                  1.453,                 1.1153,                 1.3054,                0.72435,                0.53934,                0.64496,                0.39758,                 1.2721,                0.93046,                 1.2329,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.4491,                 1.1082,                 1.3041,                0.65896,                0.57181,                0.63175,                0.39071,                 1.2773,                0.95023,                 1.2365,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.4327,                 1.0996,                 1.2898,                0.69118,                0.58165,                0.65247,                0.40316,                 1.2723,                0.93214,                 1.2317,              0.0095743,              0.0095743,              0.0095743
